year,Rajasthan - Jaipur
1966,183.71
1967,174.84
1968,208.77
1969,203.19
1970,179.25
1971,203.45
1972,235.74
1973,225.35
1974,259.95
1975,230.24
1976,245.79
1977,252.56
1978,273.94
1979,326.44
1980,299.82
1981,323.7
1982,337.93
1983,332.49
1984,337.09
1985,344.68
1986,359.01
1987,363.08
1988,348.48
1989,361.37
1990,346.99
1991,384.5
1992,407.24
1993,422.03
1994,416.35
1995,466.56
1996,479.51
1997,480.34
1998,507.88
1999,512.6
2000,487.36
2001,483.42
2002,439.5
2003,465.35
2004,489.95
2005,491.39
2006,458.39
2007,453.93
2008,455.5
2009,448.61
2010,469.94
2011,464.73
2012,474.38
2013,475.19
2014,484.07
2015,476.35
2016,476.93
2017,429.69
