year,Rajasthan - Jaipur
1966,215.8
1967,196.3
1968,265.9
1969,243.1
1970,224.1
1971,230.2
1972,285.3
1973,250.2
1974,329.4
1975,267.2
1976,275.7
1977,292.0
1978,314.2
1979,418.0
1980,400.8
1981,432.2
1982,433.0
1983,404.8
1984,398.6
1985,428.9
1986,460.6
1987,451.6
1988,414.8
1989,436.8
1990,391.51
1991,456.08
1992,468.52
1993,496.27
1994,467.98
1995,538.36
1996,542.6
1997,553.23
1998,594.34
1999,605.67
2000,578.89
2001,562.37
2002,523.32
2003,538.47
2004,587.66
2005,617.07
2006,577.2
2007,553.19
2008,552.63
2009,543.8
2010,557.61
2011,553.29
2012,561.86
2013,562.46
2014,560.19
2015,570.48
2016,543.77
2017,491.74
