Dates	NORMAL (mm) 	ACTUAL (mm) 
1901	587.1	342.24
1902	587.1	423.7
1903	587.1	572.88
1904	587.1	696.92
1905	587.1	134.51
1906	587.1	450.08
1907	587.1	464.31
1908	587.1	813.22
1909	587.1	652.66
1910	587.1	506.91
1911	587.1	394.9
1912	587.1	649.71
1913	587.1	328.16
1914	587.1	597.72
1915	587.1	336.26
1916	587.1	696.66
1917	587.1	1245.34
1918	587.1	209.62
1919	587.1	790.83
1920	587.1	601.3
1921	587.1	408.82
1922	587.1	483.94
1923	587.1	638.13
1924	587.1	1095.73
1925	587.1	363.01
1926	587.1	655.91
1927	587.1	474.4
1928	587.1	436.98
1929	587.1	525.53
1930	587.1	516.43
1931	587.1	613.59
1932	587.1	511.79
1933	587.1	872.73
1934	587.1	674.92
1935	587.1	583.57
1936	587.1	566.5
1937	587.1	458
1938	587.1	288.43
1939	587.1	236.84
1940	587.1	517.47
1941	587.1	280.71
1942	587.1	793.27
1943	587.1	578.45
1944	587.1	570.75
1945	587.1	714.49
1946	587.1	713.33
1947	587.1	537.12
1948	587.1	542.48
1949	587.1	508.05
1950	587.1	621.53
1951	587.1	323.58
1952	587.1	439.51
1953	587.1	456.07
1954	587.1	516.52
1955	587.1	759.6
1956	587.1	848.97
1957	587.1	747.06
1958	587.1	616.12
1959	587.1	754.98
1960	587.1	501.38
1961	587.1	667.03
1962	587.1	461.75
1963	587.1	485.65
1964	587.1	648.67
1965	587.1	345.56
1966	587.1	428.51
1967	587.1	724.38
1968	587.1	420.56
1969	587.1	498.78
1970	587.1	620.51
1971	587.1	831.49
1972	587.1	399.84
1973	587.1	611.81
1974	587.1	593.18
1975	587.1	961.81
1976	587.1	592.83
1977	587.1	1047.02
1978	587.1	724.49
1979	587.1	427.65
1980	587.1	500.27
1981	587.1	832.72
1982	587.1	543.99
1983	587.1	874.73
1984	587.1	404.31
1985	587.1	593.04
1986	587.1	402.75
1987	587.1	327.67
1988	587.1	485.43
1989	587.1	461.11
1990	587.1	604.11
1991	587.1	486.99
1992	587.1	709.72
1993	587.1	599.16
1994	587.1	637.1
1995	587.1	882.87
1996	587.1	888.85
1997	587.1	694.88
1998	587.1	645.72
1999	587.1	379.96
2000	587.1	364.37
2001	587.1	446.33
2002	587.1	201.42
2003	587.1	630.64
2004	587.1	550.64
2005	587.1	542.5
2006	587.1	365.37
2007	587.1	465.29
2008	587.1	689.5
2009	587.1	319.22
2010	587.1	757.95
2011	587.1	716.24
2012	587.1	727.1
2013	587.1	659.14
2014	587.1	575.63
2015	587.1	465.83
2016	587.1	635.39
2017	587.1	387.4
2018	587.1	524.02
2019	587.1	748.58
2020	587.1	540.75
