Monthly rainfall(in mm) trends for Sikar from 01-Jan-1901 to 20-Sep-2021

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-1901",6.9,32.2
"Feb-1901",8.4,12.54
"Mar-1901",3.7,0.41
"Apr-1901",3.5,0
"May-1901",20.2,8.9
"Jun-1901",41.5,3.18
"Jul-1901",172.9,86.54
"Aug-1901",137.5,87.07
"Sep-1901",57.8,2.73
"Oct-1901",7,0.56
"Nov-1901",3.1,0
"Dec-1901",3,1.88
"Jan-1902",6.9,0
"Feb-1902",8.4,3.13
"Mar-1902",3.7,0.15
"Apr-1902",3.5,2.09
"May-1902",20.2,16.92
"Jun-1902",41.5,62.34
"Jul-1902",172.9,97.49
"Aug-1902",137.5,53.89
"Sep-1902",57.8,58.22
"Oct-1902",7,20.96
"Nov-1902",3.1,0
"Dec-1902",3,0
"Jan-1903",6.9,3.83
"Feb-1903",8.4,0.25
"Mar-1903",3.7,8.06
"Apr-1903",3.5,0.14
"May-1903",20.2,16.47
"Jun-1903",41.5,20.27
"Jul-1903",172.9,224.29
"Aug-1903",137.5,198.63
"Sep-1903",57.8,89.92
"Oct-1903",7,5.63
"Nov-1903",3.1,0
"Dec-1903",3,0
"Jan-1904",6.9,3.37
"Feb-1904",8.4,5.39
"Mar-1904",3.7,34.29
"Apr-1904",3.5,0.96
"May-1904",20.2,29.76
"Jun-1904",41.5,29.67
"Jul-1904",172.9,90.43
"Aug-1904",137.5,259.33
"Sep-1904",57.8,38.25
"Oct-1904",7,0.08
"Nov-1904",3.1,11.3
"Dec-1904",3,34.73
"Jan-1905",6.9,4.78
"Feb-1905",8.4,15.5
"Mar-1905",3.7,7.2
"Apr-1905",3.5,2.73
"May-1905",20.2,0
"Jun-1905",41.5,5.09
"Jul-1905",172.9,56.1
"Aug-1905",137.5,3.72
"Sep-1905",57.8,55.82
"Oct-1905",7,0
"Nov-1905",3.1,0
"Dec-1905",3,1.97
"Jan-1906",6.9,0.97
"Feb-1906",8.4,44.17
"Mar-1906",3.7,18.92
"Apr-1906",3.5,0.07
"May-1906",20.2,7.89
"Jun-1906",41.5,60.13
"Jul-1906",172.9,84.81
"Aug-1906",137.5,31.2
"Sep-1906",57.8,98.75
"Oct-1906",7,0.01
"Nov-1906",3.1,0
"Dec-1906",3,4.26
"Jan-1907",6.9,1.21
"Feb-1907",8.4,22.01
"Mar-1907",3.7,10.46
"Apr-1907",3.5,21.64
"May-1907",20.2,28.29
"Jun-1907",41.5,22.9
"Jul-1907",172.9,99.59
"Aug-1907",137.5,157.57
"Sep-1907",57.8,1.7
"Oct-1907",7,0.08
"Nov-1907",3.1,0
"Dec-1907",3,0
"Jan-1908",6.9,17.44
"Feb-1908",8.4,3.21
"Mar-1908",3.7,0.55
"Apr-1908",3.5,0.23
"May-1908",20.2,19.15
"Jun-1908",41.5,13.57
"Jul-1908",172.9,325.63
"Aug-1908",137.5,314.4
"Sep-1908",57.8,24.64
"Oct-1908",7,0.36
"Nov-1908",3.1,6.03
"Dec-1908",3,0
"Jan-1909",6.9,4.03
"Feb-1909",8.4,3.42
"Mar-1909",3.7,0
"Apr-1909",3.5,43.45
"May-1909",20.2,11.7
"Jun-1909",41.5,98.94
"Jul-1909",172.9,196.79
"Aug-1909",137.5,129.18
"Sep-1909",57.8,136.12
"Oct-1909",7,0
"Nov-1909",3.1,0
"Dec-1909",3,43.58
"Jan-1910",6.9,11.26
"Feb-1910",8.4,2.33
"Mar-1910",3.7,0
"Apr-1910",3.5,0.97
"May-1910",20.2,5.98
"Jun-1910",41.5,57.14
"Jul-1910",172.9,47.34
"Aug-1910",137.5,178.63
"Sep-1910",57.8,64.64
"Oct-1910",7,20.85
"Nov-1910",3.1,0
"Dec-1910",3,0
"Jan-1911",6.9,17.56
"Feb-1911",8.4,0.02
"Mar-1911",3.7,33.3
"Apr-1911",3.5,3.26
"May-1911",20.2,0.02
"Jun-1911",41.5,53.67
"Jul-1911",172.9,18.81
"Aug-1911",137.5,43.29
"Sep-1911",57.8,92.86
"Oct-1911",7,10.8
"Nov-1911",3.1,22.84
"Dec-1911",3,0
"Jan-1912",6.9,37.94
"Feb-1912",8.4,12.91
"Mar-1912",3.7,3.3
"Apr-1912",3.5,3.87
"May-1912",20.2,7.78
"Jun-1912",41.5,3.82
"Jul-1912",172.9,254.61
"Aug-1912",137.5,110.26
"Sep-1912",57.8,21.28
"Oct-1912",7,5.27
"Nov-1912",3.1,7
"Dec-1912",3,0
"Jan-1913",6.9,0.22
"Feb-1913",8.4,24.94
"Mar-1913",3.7,1.46
"Apr-1913",3.5,0.37
"May-1913",20.2,69.16
"Jun-1913",41.5,60.73
"Jul-1913",172.9,64.09
"Aug-1913",137.5,37.8
"Sep-1913",57.8,38.25
"Oct-1913",7,4.37
"Nov-1913",3.1,0.83
"Dec-1913",3,22.68
"Jan-1914",6.9,0.06
"Feb-1914",8.4,1.88
"Mar-1914",3.7,0.49
"Apr-1914",3.5,5.41
"May-1914",20.2,1.79
"Jun-1914",41.5,73.87
"Jul-1914",172.9,215.02
"Aug-1914",137.5,106.6
