Title:,"Time Series, Area-Averaged of Surface air temperature monthly 0.5 x 0.625 ()"
User Start Date:,1980-01-01T00:00:00Z
User End Date:,2021-01-31T23:59:59Z
User Bounding Box:,"62,10,72,20"
Data Bounding Box:,"62.5,10,71.875,20"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-01-01T00:00:00Z&endtime=2021-01-31T23:59:59Z&bbox=62,10,72,20&data=M2IMNXLFO_5_12_4_TLML&portal=GIOVANNI&format=json"
Fill Value (mean_M2IMNXLFO_5_12_4_TLML):, 1e+15

time, mean_M2IMNXLFO_5_12_4_TLML
1980-01-01 00:00:00,297.172913
1980-02-01 00:00:00,297.542206
1980-03-01 00:00:00,298.540833
1980-04-01 00:00:00,300.300415
1980-05-01 00:00:00,301.372986
1980-06-01 00:00:00,301.192261
1980-07-01 00:00:00,300.160217
1980-08-01 00:00:00,299.529266
1980-09-01 00:00:00,299.267487
1980-10-01 00:00:00,299.825592
1980-11-01 00:00:00,299.999573
1980-12-01 00:00:00,298.350372
1981-01-01 00:00:00,297.341461
1981-02-01 00:00:00,297.808838
1981-03-01 00:00:00,298.904144
1981-04-01 00:00:00,299.932953
1981-05-01 00:00:00,301.068237
1981-06-01 00:00:00,301.091644
1981-07-01 00:00:00,299.964478
1981-08-01 00:00:00,299.344757
1981-09-01 00:00:00,299.243286
1981-10-01 00:00:00,299.514862
1981-11-01 00:00:00,298.894623
1981-12-01 00:00:00,298.192322
1982-01-01 00:00:00,297.100006
1982-02-01 00:00:00,297.528564
1982-03-01 00:00:00,298.125336
1982-04-01 00:00:00,299.478577
1982-05-01 00:00:00,300.532837
1982-06-01 00:00:00,301.212494
1982-07-01 00:00:00,300.335114
1982-08-01 00:00:00,299.382904
1982-09-01 00:00:00,299.048889
1982-10-01 00:00:00,299.983673
1982-11-01 00:00:00,299.50235
1982-12-01 00:00:00,298.807953
1983-01-01 00:00:00,297.489136
1983-02-01 00:00:00,296.921295
1983-03-01 00:00:00,297.893433
1983-04-01 00:00:00,299.151398
1983-05-01 00:00:00,300.485138
1983-06-01 00:00:00,301.317291
1983-07-01 00:00:00,300.50766
1983-08-01 00:00:00,299.877838
1983-09-01 00:00:00,299.49469
1983-10-01 00:00:00,299.624908
1983-11-01 00:00:00,299.097015
1983-12-01 00:00:00,297.922333
1984-01-01 00:00:00,296.511475
1984-02-01 00:00:00,296.877258
1984-03-01 00:00:00,298.835052
1984-04-01 00:00:00,300.243439
1984-05-01 00:00:00,301.041138
1984-06-01 00:00:00,300.702362
1984-07-01 00:00:00,299.388275
1984-08-01 00:00:00,298.680756
1984-09-01 00:00:00,298.379181
1984-10-01 00:00:00,298.889191
1984-11-01 00:00:00,299.035431
1984-12-01 00:00:00,298.075073
1985-01-01 00:00:00,297.213593
1985-02-01 00:00:00,296.916443
1985-03-01 00:00:00,298.662872
1985-04-01 00:00:00,300.015686
1985-05-01 00:00:00,300.794525
1985-06-01 00:00:00,300.44986
1985-07-01 00:00:00,299.358612
1985-08-01 00:00:00,298.872772
1985-09-01 00:00:00,298.761139
1985-10-01 00:00:00,299.052307
1985-11-01 00:00:00,298.77652
1985-12-01 00:00:00,297.892578
1986-01-01 00:00:00,297.059845
1986-02-01 00:00:00,296.969208
1986-03-01 00:00:00,298.554718
1986-04-01 00:00:00,300.040436
1986-05-01 00:00:00,301.165436
1986-06-01 00:00:00,300.676422
1986-07-01 00:00:00,299.607483
1986-08-01 00:00:00,298.602539
1986-09-01 00:00:00,298.741669
1986-10-01 00:00:00,299.231079
1986-11-01 00:00:00,299.128693
1986-12-01 00:00:00,297.536469
1987-01-01 00:00:00,297.015289
1987-02-01 00:00:00,297.15152
1987-03-01 00:00:00,298.347168
1987-04-01 00:00:00,299.653595
1987-05-01 00:00:00,301.16687
1987-06-01 00:00:00,300.955688
1987-07-01 00:00:00,300.329193
1987-08-01 00:00:00,299.981354
1987-09-01 00:00:00,299.570831
1987-10-01 00:00:00,300.124237
1987-11-01 00:00:00,300.019928
1987-12-01 00:00:00,299.398254
1988-01-01 00:00:00,298.161102
1988-02-01 00:00:00,298.216248
1988-03-01 00:00:00,298.650574
1988-04-01 00:00:00,300.235718
1988-05-01 00:00:00,301.38858
1988-06-01 00:00:00,301.325592
1988-07-01 00:00:00,300.38681
1988-08-01 00:00:00,299.520844
1988-09-01 00:00:00,299.464996
1988-10-01 00:00:00,299.375
1988-11-01 00:00:00,299.750336
1988-12-01 00:00:00,298.707428
1989-01-01 00:00:00,297.273041
1989-02-01 00:00:00,297.471802
1989-03-01 00:00:00,298.322754
1989-04-01 00:00:00,299.523743
1989-05-01 00:00:00,300.976807
1989-06-01 00:00:00,300.538239
1989-07-01 00:00:00,299.657593
1989-08-01 00:00:00,299.20694
1989-09-01 00:00:00,298.981079
1989-10-01 00:00:00,299.550537
1989-11-01 00:00:00,300.087708
1989-12-01 00:00:00,298.583405
1990-01-01 00:00:00,297.85675
1990-02-01 00:00:00,297.971527
1990-03-01 00:00:00,298.077698
1990-04-01 00:00:00,299.479034
1990-05-01 00:00:00,301.134583
1990-06-01 00:00:00,300.943207
1990-07-01 00:00:00,299.550171
1990-08-01 00:00:00,299.161194
1990-09-01 00:00:00,298.877899
1990-10-01 00:00:00,299.638611
1990-11-01 00:00:00,299.556946
1990-12-01 00:00:00,298.683624
1991-01-01 00:00:00,297.365021
1991-02-01 00:00:00,297.25882
1991-03-01 00:00:00,298.39151
1991-04-01 00:00:00,300.086945
1991-05-01 00:00:00,301.279816
1991-06-01 00:00:00,301.406189
1991-07-01 00:00:00,300.327026
1991-08-01 00:00:00,299.292603
1991-09-01 00:00:00,298.950226
1991-10-01 00:00:00,299.446838
1991-11-01 00:00:00,299.52301
1991-12-01 00:00:00,298.234528
1992-01-01 00:00:00,297.330536
1992-02-01 00:00:00,297.225464
1992-03-01 00:00:00,297.755219
1992-04-01 00:00:00,298.727814
1992-05-01 00:00:00,300.442108
1992-06-01 00:00:00,300.774078
1992-07-01 00:00:00,300.219666
1992-08-01 00:00:00,299.181122
1992-09-01 00:00:00,298.904816
1992-10-01 00:00:00,299.188202
1992-11-01 00:00:00,299.757355
1992-12-01 00:00:00,298.802216
1993-01-01 00:00:00,297.85556
1993-02-01 00:00:00,297.859619
1993-03-01 00:00:00,298.029114
1993-04-01 00:00:00,299.378967
1993-05-01 00:00:00,300.825836
1993-06-01 00:00:00,300.830139
1993-07-01 00:00:00,300.022003
1993-08-01 00:00:00,299.260925
1993-09-01 00:00:00,299.165619
1993-10-01 00:00:00,299.339478
1993-11-01 00:00:00,299.440063
1993-12-01 00:00:00,298.598419
1994-01-01 00:00:00,297.75235
1994-02-01 00:00:00,297.151825
1994-03-01 00:00:00,298.516968
1994-04-01 00:00:00,299.711273
1994-05-01 00:00:00,300.887543
1994-06-01 00:00:00,300.565948
1994-07-01 00:00:00,299.522614
1994-08-01 00:00:00,298.826935
1994-09-01 00:00:00,298.359131
1994-10-01 00:00:00,299.530121
1994-11-01 00:00:00,299.687897
1994-12-01 00:00:00,298.084717
1995-01-01 00:00:00,296.889343
1995-02-01 00:00:00,297.292023
1995-03-01 00:00:00,297.954651
1995-04-01 00:00:00,299.555573
1995-05-01 00:00:00,300.574127
1995-06-01 00:00:00,301.228882
1995-07-01 00:00:00,300.000732
1995-08-01 00:00:00,299.654083
1995-09-01 00:00:00,299.313049
1995-10-01 00:00:00,299.837372
1995-11-01 00:00:00,299.062714
1995-12-01 00:00:00,298.57843
1996-01-01 00:00:00,297.517639
1996-02-01 00:00:00,297.494629
1996-03-01 00:00:00,298.710114
1996-04-01 00:00:00,299.713165
1996-05-01 00:00:00,300.685883
1996-06-01 00:00:00,300.816559
1996-07-01 00:00:00,299.942841
1996-08-01 00:00:00,298.83374
1996-09-01 00:00:00,298.806152
1996-10-01 00:00:00,299.120178
1996-11-01 00:00:00,298.709869
1996-12-01 00:00:00,298.352234
1997-01-01 00:00:00,297.184875
1997-02-01 00:00:00,296.86615
1997-03-01 00:00:00,298.587677
1997-04-01 00:00:00,299.269562
1997-05-01 00:00:00,300.638245
1997-06-01 00:00:00,301.214355
1997-07-01 00:00:00,300.145752
1997-08-01 00:00:00,299.544128
1997-09-01 00:00:00,299.351837
1997-10-01 00:00:00,299.947662
1997-11-01 00:00:00,299.93576
1997-12-01 00:00:00,298.246094
1998-01-01 00:00:00,297.842529
1998-02-01 00:00:00,297.725464
1998-03-01 00:00:00,298.373108
1998-04-01 00:00:00,300.312378
1998-05-01 00:00:00,301.710938
1998-06-01 00:00:00,301.551636
1998-07-01 00:00:00,300.026123
1998-08-01 00:00:00,299.929169
1998-09-01 00:00:00,299.898376
1998-10-01 00:00:00,299.479248
1998-11-01 00:00:00,299.579529
1998-12-01 00:00:00,298.85968
1999-01-01 00:00:00,297.355377
1999-02-01 00:00:00,297.6297
1999-03-01 00:00:00,298.527161
1999-04-01 00:00:00,299.554626
1999-05-01 00:00:00,300.688934
1999-06-01 00:00:00,300.792511
1999-07-01 00:00:00,299.971527
1999-08-01 00:00:00,299.174713
1999-09-01 00:00:00,299.058929
1999-10-01 00:00:00,299.520355
1999-11-01 00:00:00,299.447662
1999-12-01 00:00:00,298.665192
2000-01-01 00:00:00,297.752716
2000-02-01 00:00:00,297.00119
2000-03-01 00:00:00,298.009613
2000-04-01 00:00:00,299.654724
2000-05-01 00:00:00,300.830017
2000-06-01 00:00:00,300.683044
2000-07-01 00:00:00,299.554901
2000-08-01 00:00:00,299.44931
2000-09-01 00:00:00,299.272919
2000-10-01 00:00:00,299.789795
2000-11-01 00:00:00,299.881226
